Date,Open,High,Low,Close,Adj Close,Volume
1995-03-15,1.875,2.144531,1.828125,2.109375,1.326324,92646400
1995-03-16,2.320313,2.390625,2.226563,2.320313,1.458957,22867200
1995-03-17,2.332031,2.332031,2.226563,2.238281,1.407377,17163733
1995-03-20,2.226563,2.238281,2.179688,2.226563,1.400009,7141333
1995-03-21,2.226563,2.355469,2.203125,2.332031,1.466325,8198400
1995-03-22,2.34375,2.789063,2.34375,2.613281,1.643168,18216533
1995-03-23,2.589844,2.660156,2.542969,2.554688,1.606326,8507733
1995-03-24,2.578125,2.589844,2.519531,2.566406,1.613694,2049067
1995-03-27,2.554688,2.601563,2.519531,2.601563,1.6358,2526933
1995-03-28,2.613281,2.789063,2.601563,2.683594,1.687379,13986133
1995-03-29,2.71875,2.777344,2.648438,2.695313,1.694748,5116800
1995-03-30,2.671875,2.671875,2.472656,2.542969,1.598958,3025067
1995-03-31,2.507813,2.636719,2.472656,2.636719,1.657905,4603733
1995-04-03,2.625,2.625,2.542969,2.578125,1.621063,3210667
1995-04-04,2.566406,2.578125,2.402344,2.425781,1.525272,2643200
1995-04-05,2.425781,2.425781,2.34375,2.367188,1.488431,4864000
1995-04-06,2.390625,2.425781,2.367188,2.367188,1.488431,2638933
1995-04-07,2.367188,2.402344,2.332031,2.367188,1.488431,1559467
1995-04-10,2.367188,2.53125,2.332031,2.484375,1.562115,2995200
1995-04-11,2.484375,2.519531,2.460938,2.484375,1.562115,2439467
1995-04-12,2.496094,2.548828,2.496094,2.53125,1.591589,4126933
1995-04-13,2.554688,2.554688,2.460938,2.484375,1.562115,781867
1995-04-17,2.460938,2.507813,2.402344,2.402344,1.510536,1000533
1995-04-18,2.402344,2.4375,2.332031,2.355469,1.481062,1351467
1995-04-19,2.355469,2.378906,2.332031,2.332031,1.466325,1766400
1995-04-20,2.34375,2.378906,2.332031,2.332031,1.466325,1704533
1995-04-21,2.367188,2.378906,2.367188,2.378906,1.495799,652800
1995-04-24,2.378906,2.695313,2.378906,2.671875,1.680011,5712000
1995-04-25,2.636719,2.660156,2.566406,2.566406,1.613694,1277867
1995-04-26,2.566406,2.683594,2.566406,2.660156,1.672642,2708267
1995-04-27,2.648438,2.695313,2.636719,2.671875,1.680011,2250667
1995-04-28,2.660156,2.660156,2.53125,2.566406,1.613694,1061333
1995-05-01,2.589844,2.589844,2.542969,2.554688,1.606326,1065600
1995-05-02,2.589844,2.589844,2.542969,2.566406,1.613694,354133
1995-05-03,2.542969,2.648438,2.542969,2.636719,1.657905,2008533
1995-05-04,2.648438,2.90625,2.648438,2.800781,1.761064,8756267
1995-05-05,2.800781,2.894531,2.800781,2.835938,1.783169,2449067
1995-05-08,2.824219,2.917969,2.8125,2.882813,1.812643,1575467
1995-05-09,2.882813,2.882813,2.777344,2.800781,1.761064,2669867
1995-05-10,2.765625,2.765625,2.695313,2.707031,1.702116,4389333
1995-05-11,2.730469,2.730469,2.648438,2.648438,1.665274,973867
1995-05-12,2.648438,2.859375,2.648438,2.800781,1.761064,2487467
1995-05-15,2.835938,2.90625,2.8125,2.882813,1.812643,1851733
1995-05-16,2.871094,2.894531,2.859375,2.882813,1.812643,696533
1995-05-17,3.011719,3.210938,2.976563,3.175781,1.996855,7186133
1995-05-18,3.28125,3.363281,3.199219,3.269531,2.055803,3654400
1995-05-19,3.152344,3.234375,3.152344,3.164063,1.989487,2304000
1995-05-22,3.1875,3.210938,3.070313,3.117188,1.960013,789333
1995-05-23,3.128906,3.234375,3.058594,3.234375,2.033697,3474133
1995-05-24,3.304688,3.410156,3.292969,3.328125,2.092645,6852267
1995-05-25,3.386719,3.398438,3.222656,3.222656,2.026328,2332800
1995-05-26,3.234375,3.257813,3.199219,3.199219,2.011592,661333
1995-05-30,3.222656,3.269531,3.058594,3.077637,1.935144,1842133
1995-05-31,3.023438,3.070313,2.941406,3.023438,1.901065,2929067
1995-06-01,3.035156,3.064453,3.0,3.064453,1.926854,379733
1995-06-02,3.011719,3.140625,2.988281,3.117188,1.960013,1778133
1995-06-05,3.128906,3.164063,3.117188,3.152344,1.982118,998400
1995-06-06,3.117188,3.140625,3.082031,3.082031,1.937907,632533
1995-06-07,3.128906,3.152344,3.082031,3.105469,1.952644,727467
1995-06-08,3.140625,3.164063,3.128906,3.128906,1.96738,326400
1995-06-09,3.164063,3.199219,3.128906,3.164063,1.989487,230400
1995-06-12,3.164063,3.175781,3.152344,3.152344,1.982118,200533
1995-06-13,3.1875,3.199219,3.152344,3.164063,1.989487,370133
1995-06-14,3.152344,3.152344,3.117188,3.117188,1.960013,679467
1995-06-15,3.117188,3.199219,3.09375,3.128906,1.96738,1202133
1995-06-16,3.164063,3.164063,3.128906,3.128906,1.96738,228267
1995-06-19,3.128906,3.175781,3.128906,3.164063,1.989487,2421333
1995-06-20,3.164063,3.1875,3.140625,3.175781,1.996855,5568000
1995-06-21,3.210938,3.210938,3.152344,3.152344,1.982118,2055467
1995-06-22,3.140625,3.175781,3.09375,3.105469,1.952644,694400
1995-06-23,3.09375,3.128906,3.035156,3.105469,1.952644,2817067
1995-06-26,3.152344,3.234375,3.128906,3.1875,2.004223,2220800
1995-06-27,3.1875,3.210938,3.117188,3.128906,1.96738,984533
1995-06-28,3.09375,3.105469,3.070313,3.082031,1.937907,466133
1995-06-29,3.105469,3.328125,3.105469,3.292969,2.07054,1145600
1995-06-30,3.28125,3.480469,3.28125,3.363281,2.11475,2346667
1995-07-03,3.46875,3.46875,3.433594,3.46875,2.181067,276267
1995-07-05,3.609375,3.679688,3.585938,3.621094,2.276856,2864000
1995-07-06,3.714844,3.796875,3.5625,3.621094,2.276856,1438933
1995-07-07,3.679688,3.773438,3.679688,3.714844,2.335804,966400
1995-07-10,3.75,3.808594,3.75,3.796875,2.387383,633600
1995-07-11,3.785156,3.785156,3.720703,3.726563,2.343173,1653333
1995-07-12,3.738281,3.9375,3.738281,3.914063,2.461068,3673600
1995-07-13,3.972656,4.6875,3.972656,4.511719,2.836861,13308800
1995-07-14,4.183594,4.40625,4.042969,4.347656,2.733701,8209067
1995-07-17,4.335938,4.417969,4.335938,4.371094,2.748439,5881600
1995-07-18,4.40625,4.429688,4.21875,4.230469,2.660017,3415467
1995-07-19,4.089844,4.195313,3.703125,4.195313,2.637912,3053867
1995-07-20,4.171875,4.570313,4.136719,4.546875,2.858966,2365867
1995-07-21,4.476563,4.792969,4.335938,4.652344,2.925282,1792000
1995-07-24,4.640625,4.910156,4.640625,4.816406,3.02844,1042133
1995-07-25,4.933594,5.085938,4.851563,5.050781,3.17581,6579200
1995-07-26,5.015625,5.109375,5.015625,5.0625,3.183178,3315200
1995-07-27,5.0625,5.308594,4.875,5.214844,3.278969,3241600
1995-07-28,5.121094,5.285156,5.027344,5.238281,3.293705,2165333
1995-07-31,5.472656,5.519531,5.214844,5.25,3.301073,2494933
1995-08-01,5.296875,5.296875,4.933594,4.939453,3.105809,1324800
1995-08-02,5.039063,5.039063,4.746094,4.746094,2.98423,1192533
1995-08-03,4.722656,4.769531,4.628906,4.640625,2.917913,1789867
1995-08-04,4.664063,4.734375,4.359375,4.359375,2.74107,3746133
1995-08-07,4.40625,4.617188,4.40625,4.523438,2.844229,2017067
1995-08-08,4.734375,4.743164,4.523438,4.617188,2.903176,1454933
1995-08-09,4.640625,4.640625,4.523438,4.523438,2.844229,571733
1995-08-10,4.561523,4.561523,4.382813,4.394531,2.763175,320000
1995-08-11,4.476563,4.617188,4.464844,4.464844,2.807387,800000
1995-08-14,4.5,4.652344,4.464844,4.652344,2.925282,2217600
1995-08-15,4.6875,4.710938,4.570313,4.640625,2.917913,2008533
1995-08-16,4.816406,5.003906,4.734375,4.921875,3.094756,1257600
1995-08-17,4.898438,4.992188,4.898438,4.910156,3.087388,1553067
1995-08-18,4.96875,4.96875,4.898438,4.898438,3.08002,48000
1995-08-21,4.875,4.886719,4.488281,4.488281,2.822123,635733
1995-08-22,4.5,4.570313,4.371094,4.570313,2.873703,1515733
1995-08-23,4.628906,4.757813,4.546875,4.652344,2.925282,1265067
1995-08-24,4.652344,4.652344,4.519043,4.570313,2.873703,296533
1995-08-25,4.652344,4.652344,4.570313,4.59375,2.888439,1763200
1995-08-28,4.570313,4.664063,4.523438,4.523438,2.844229,1109333
1995-08-29,4.511719,4.582031,4.265625,4.40625,2.770544,2538667
1995-08-30,4.453125,4.523438,4.371094,4.382813,2.755807,983467
1995-08-31,4.40625,4.464844,4.382813,4.417969,2.777913,668800
1995-09-01,4.476563,4.582031,4.476563,4.546875,2.858966,336000
1995-09-05,4.570313,4.839844,4.570313,4.839844,3.043177,726400
1995-09-06,4.886719,4.933594,4.78125,4.851563,3.050545,1463467
1995-09-07,4.851563,4.910156,4.804688,4.839844,3.043177,619733
1995-09-08,4.804688,4.886719,4.78125,4.828125,3.035809,52267
1995-09-11,4.78125,5.15625,4.78125,5.0625,3.183178,803200
1995-09-12,5.132813,5.238281,4.875,4.921875,3.094756,516267
1995-09-13,4.910156,4.980469,4.863281,4.863281,3.057914,872533
1995-09-14,4.863281,4.863281,4.769531,4.828125,3.035809,233600
1995-09-15,4.757813,4.757813,4.558594,4.617188,2.903176,850133
1995-09-18,4.558594,4.664063,4.453125,4.535156,2.851597,1450667
1995-09-19,4.535156,4.652344,4.535156,4.617188,2.903176,6583467
1995-09-20,4.734375,4.757813,4.664063,4.664063,2.932651,544000
1995-09-21,4.628906,4.699219,4.59375,4.605469,2.895809,1288533
1995-09-22,4.59375,4.621582,4.136719,4.148438,2.608438,821333
1995-09-25,4.289063,4.382813,4.253906,4.289063,2.69686,770133
1995-09-26,4.453125,4.453125,4.3125,4.318359,2.71528,1126400
1995-09-27,4.265625,4.324219,3.585938,4.007813,2.520016,2564267
1995-09-28,4.019531,4.195313,4.019531,4.113281,2.586332,1329067
1995-09-29,4.3125,4.40625,4.113281,4.113281,2.586332,1210667
1995-10-02,4.148438,4.195313,3.679688,3.726563,2.343173,667733
1995-10-03,3.738281,3.845215,3.738281,3.796875,2.387383,3581867
1995-10-04,3.773438,3.84375,3.761719,3.761719,2.365278,197333
1995-10-05,3.808594,3.832031,3.726563,3.75,2.35791,330667
1995-10-06,3.820313,3.925781,3.820313,3.820313,2.402121,1910400
1995-10-09,3.820313,3.820313,3.738281,3.738281,2.350541,166400
1995-10-10,3.75,3.75,3.46875,3.667969,2.306331,727467
1995-10-11,3.738281,3.972656,3.738281,3.820313,2.402121,662400
1995-10-12,3.914063,3.984375,3.914063,3.984375,2.505279,416000
1995-10-13,4.007813,4.019531,3.9375,3.9375,2.475805,2384000
1995-10-16,4.007813,4.007813,3.84375,3.867188,2.431595,3205333
1995-10-17,4.054688,4.207031,3.984375,4.207031,2.645279,1091200
1995-10-18,4.5,4.664063,4.488281,4.617188,2.903176,3970133
1995-10-19,4.535156,4.605469,4.253906,4.253906,2.674754,1509333
1995-10-20,4.265625,4.417969,4.242188,4.347656,2.733701,1716267
1995-10-23,4.347656,4.558594,4.347656,4.558594,2.866334,1760000
1995-10-24,4.59375,4.875,4.570313,4.710938,2.962124,1275733
1995-10-25,4.757813,4.757813,4.582031,4.617188,2.903176,524800
1995-10-26,4.546875,4.546875,4.429688,4.5,2.829492,416000
1995-10-27,4.40625,4.511719,4.40625,4.453125,2.800018,425600
1995-10-30,4.5,4.582031,4.476563,4.582031,2.881071,761600
1995-10-31,4.59375,4.652344,4.546875,4.652344,2.925282,1734400
1995-11-01,4.652344,4.652344,4.535156,4.628906,2.910545,377600
1995-11-02,4.546875,4.617188,4.535156,4.59375,2.888439,1960533
