Date,Open,High,Low,Close,Adj Close,Volume
2009-08-06,16.5,16.91,15.56,16.18,12.020389,24197800
2009-08-07,16.15,16.76,16.030001,16.43,12.206121,2454300
2009-08-10,16.629999,16.629999,15.61,15.97,11.864374,2421000
2009-08-11,15.98,16.0,15.5,15.67,11.6415,2305400
2009-08-12,16.15,16.200001,15.66,16.0,11.886665,1451300
2009-08-13,16.0,16.719999,16.0,16.549999,12.295264,1150600
2009-08-14,16.5,17.0,16.25,16.6,12.332414,637800
2009-08-17,16.27,16.370001,16.200001,16.219999,12.050104,254400
2009-08-18,16.48,17.200001,16.35,17.07,12.681586,1446700
2009-08-19,16.84,17.940001,16.799999,17.889999,13.290779,2070800
2009-08-20,17.950001,17.950001,17.290001,17.76,13.1942,1882100
2009-08-21,17.790001,17.969999,17.58,17.82,13.238771,863600
2009-08-24,17.52,17.85,17.299999,17.5,13.00104,1021600
2009-08-25,17.65,17.9,17.549999,17.85,13.26106,530800
2009-08-26,17.690001,17.85,17.15,17.85,13.26106,708600
2009-08-27,17.85,18.209999,17.549999,18.16,13.491364,1161100
2009-08-28,18.1,19.0,18.0,18.469999,13.721669,1295000
2009-08-31,18.35,18.4,17.809999,18.200001,13.521079,1004800
2009-09-01,18.25,18.440001,16.940001,17.85,13.26106,1383500
2009-09-02,17.76,18.25,17.48,17.68,13.134766,1293400
2009-09-03,17.969999,17.969999,17.0,17.450001,12.963898,3657700
2009-09-04,17.75,18.0,17.49,17.76,13.1942,1158600
2009-09-08,17.76,17.93,17.450001,17.700001,13.149624,574900
2009-09-09,17.85,17.85,17.219999,17.26,12.822742,551200
2009-09-10,17.01,17.459999,16.950001,17.049999,12.666725,415200
2009-09-11,17.0,17.33,16.540001,16.879999,12.540432,620300
2009-09-14,16.639999,16.9,16.309999,16.65,12.369558,1614500
2009-09-15,17.25,17.35,16.629999,17.18,12.763305,1986900
2009-09-16,17.4,17.75,17.110001,17.58,13.060474,2021100
2009-09-17,17.66,17.9,16.530001,16.639999,12.362134,1446400
2009-09-18,16.57,17.02,16.18,16.200001,12.035253,899900
2009-09-21,16.280001,16.629999,15.87,16.610001,12.339846,553000
2009-09-22,16.959999,17.370001,16.82,17.25,12.815311,1114100
2009-09-23,17.620001,17.790001,17.299999,17.4,12.926745,530300
2009-09-24,17.33,17.85,16.75,17.49,12.993609,778800
2009-09-25,17.48,17.48,17.1,17.129999,12.726159,468500
