Date,Open,High,Low,Close,Adj Close,Volume
1993-03-12,2.291667,2.75,2.25,2.645833,2.386514,28573200
1993-03-15,2.6875,2.708333,2.583333,2.614583,2.358328,6580800
1993-03-16,2.583333,2.625,2.520833,2.552083,2.301952,3928800
1993-03-17,2.520833,2.5625,2.416667,2.458333,2.217391,3170400
1993-03-18,2.520833,2.541667,2.458333,2.541667,2.292557,735600
1993-03-19,2.479167,2.541667,2.479167,2.520833,2.273765,542400
1993-03-22,2.5,2.541667,2.375,2.375,2.142225,1749600
1993-03-23,2.416667,2.541667,2.333333,2.541667,2.292557,2000400
1993-03-24,2.5,2.541667,2.416667,2.479167,2.236184,1009200
1993-03-25,2.479167,2.479167,2.375,2.375,2.142225,1035600
1993-03-26,2.416667,2.416667,2.375,2.375,2.142225,1326000
1993-03-29,2.416667,2.458333,2.333333,2.364583,2.132829,518400
1993-03-30,2.416667,2.416667,2.333333,2.375,2.142225,649200
1993-03-31,2.375,2.375,2.3125,2.3125,2.085851,1665600
1993-04-01,2.3125,2.375,2.291667,2.3125,2.085851,316800
1993-04-02,2.3125,2.3125,2.145833,2.208333,1.991894,1820400
1993-04-05,2.229167,2.291667,2.145833,2.25,2.029477,1450800
1993-04-06,2.333333,2.333333,2.25,2.25,2.029477,1084800
1993-04-07,2.208333,2.270833,2.166667,2.166667,1.954311,1216800
1993-04-08,2.145833,2.229167,2.104167,2.125,1.916728,990000
1993-04-12,2.083333,2.125,2.0625,2.104167,1.897937,1232400
1993-04-13,2.083333,2.125,2.020833,2.041667,1.841563,2005200
1993-04-14,2.083333,2.125,2.041667,2.125,1.916728,3022800
1993-04-15,2.125,2.125,2.0625,2.0625,1.860353,412800
1993-04-16,2.0625,2.125,2.0625,2.0625,1.860353,188400
1993-04-19,2.104167,2.104167,2.041667,2.041667,1.841563,628800
1993-04-20,2.041667,2.083333,2.041667,2.041667,1.841563,214800
1993-04-21,2.083333,2.083333,2.0,2.020833,1.82277,588000
1993-04-22,2.0625,2.125,2.020833,2.125,1.916728,382800
1993-04-23,2.145833,2.145833,2.0625,2.145833,1.935519,118800
1993-04-26,2.145833,2.145833,2.0625,2.0625,1.860353,187200
1993-04-27,2.104167,2.291667,2.041667,2.291667,2.067059,1040400
1993-04-28,2.291667,2.291667,2.229167,2.270833,2.048269,348000
1993-04-29,2.229167,2.229167,2.1875,2.229167,2.010685,319200
1993-04-30,2.208333,2.354167,2.208333,2.291667,2.067059,1194000
1993-05-03,2.291667,2.416667,2.291667,2.416667,2.179809,499200
1993-05-04,2.416667,2.416667,2.354167,2.416667,2.179809,242400
1993-05-05,2.354167,2.625,2.354167,2.541667,2.292557,1215600
1993-05-06,2.541667,2.583333,2.4375,2.479167,2.236184,598800
1993-05-07,2.479167,2.583333,2.479167,2.520833,2.273765,472800
1993-05-10,2.520833,2.645833,2.520833,2.583333,2.33014,349200
1993-05-11,2.625,2.625,2.5625,2.5625,2.311348,391200
1993-05-12,2.5625,2.604167,2.5625,2.5625,2.311348,145200
