Date,Open,High,Low,Close,Adj Close,Volume
1984-06-01,0.0,1.425,1.4125,1.4125,1.377198,7340000
1984-06-04,0.0,1.425,1.4125,1.4125,1.377198,4067000
1984-06-05,0.0,1.4125,1.4,1.4,1.36501,2089000
1984-06-06,0.0,1.5,1.475,1.475,1.438136,1894000
1984-06-07,0.0,1.65,1.6375,1.6375,1.596574,2078000
1984-06-08,0.0,1.7625,1.7375,1.7375,1.694075,2227000
1984-06-11,0.0,1.65,1.625,1.625,1.584387,1219000
1984-06-12,0.0,1.625,1.6125,1.6125,1.572199,670000
1984-06-13,0.0,1.7,1.6875,1.6875,1.645324,1339000
1984-06-14,0.0,1.6625,1.6375,1.6375,1.596574,680000
1984-06-15,0.0,1.7,1.6875,1.6875,1.645324,704000
1984-06-18,0.0,1.75,1.7375,1.7375,1.694075,480000
1984-06-19,0.0,1.875,1.8625,1.8625,1.815951,1581000
1984-06-20,0.0,2.075,2.0625,2.0625,2.010952,2273000
1984-06-21,0.0,2.0625,2.0375,2.0375,1.986577,2039000
1984-06-22,0.0,2.275,2.2625,2.2625,2.205954,1199000
1984-06-25,0.0,2.25,2.2375,2.2375,2.181579,1579000
1984-06-26,0.0,2.3125,2.3,2.3,2.242516,1040000
1984-06-27,0.0,2.25,2.2375,2.2375,2.181579,1046000
1984-06-28,0.0,2.3625,2.35,2.35,2.291267,563000
1984-06-29,0.0,2.5625,2.5375,2.5375,2.47408,1019000
1984-07-02,0.0,2.5,2.475,2.475,2.413142,940000
1984-07-03,0.0,2.55,2.525,2.525,2.461893,339000
1984-07-05,0.0,2.6625,2.65,2.65,2.583769,1428000
1984-07-06,0.0,2.6375,2.625,2.625,2.559394,728000
1984-07-09,0.0,2.6,2.575,2.575,2.510643,963000
1984-07-10,0.0,2.525,2.5125,2.5125,2.449705,1938000
1984-07-11,0.0,2.4125,2.4,2.4,2.340017,980000
1984-07-12,0.0,2.3375,2.3375,2.3375,2.279079,1021000
1984-07-13,0.0,2.375,2.3625,2.3625,2.303454,223000
1984-07-16,0.0,2.2875,2.2625,2.2625,2.205954,473000
1984-07-17,0.0,2.35,2.3375,2.3375,2.279079,350000
1984-07-18,0.0,2.35,2.325,2.325,2.266891,150000
1984-07-19,0.0,2.1,2.0875,2.0875,2.035327,761000
1984-07-20,0.0,1.9375,1.9,1.9,1.852513,723000
1984-07-23,0.0,1.975,1.9625,1.9625,1.913451,580000
