Date,Open,High,Low,Close,Adj Close,Volume
2010-08-06,13.0,14.08,12.99,14.0,13.224922,10678500
2010-08-09,14.0,14.0,13.7,14.0,13.224922,1819500
2010-08-10,13.77,13.84,13.58,13.6,12.847066,1579300
2010-08-11,13.25,13.38,12.45,12.75,12.044126,2588200
2010-08-12,12.26,12.51,12.1,12.39,11.704055,1780300
2010-08-13,12.25,12.53,11.85,12.0,11.335648,957600
2010-08-16,11.79,12.23,11.69,11.78,11.127826,551600
2010-08-17,11.86,12.3,11.75,12.22,11.543466,1086700
2010-08-18,12.08,12.6,12.0,12.0,11.335648,1010600
2010-08-19,11.95,12.1,11.31,11.55,10.910562,746000
2010-08-20,11.45,11.5,11.03,11.15,10.532704,450600
2010-08-23,11.28,11.5,10.46,10.98,10.372116,761800
2010-08-24,10.76,11.3,10.5,10.68,10.088726,746700
2010-08-25,10.5,11.13,10.23,10.75,10.15485,1112200
2010-08-26,10.94,11.15,10.8,11.0,10.391008,581400
2010-08-27,11.15,11.49,10.99,11.11,10.494921,370900
2010-08-30,11.01,11.27,11.01,11.1,10.485475,226900
2010-08-31,11.01,11.23,10.87,11.08,10.466579,236000
2010-09-01,11.08,11.95,10.76,11.73,11.080595,412800
2010-09-02,11.08,11.91,11.08,11.87,11.212845,98500
2010-09-03,11.9,12.32,11.58,11.89,11.231736,231400
2010-09-07,12.0,12.36,11.78,12.03,11.363985,468400
2010-09-08,11.49,12.18,11.42,12.16,11.486789,1483700
2010-09-09,12.21,12.63,11.51,11.9,11.241181,235600
2010-09-10,11.98,12.13,11.81,11.98,11.316753,362900
2010-09-13,12.09,12.24,11.84,11.94,11.278969,303900
2010-09-14,11.85,12.25,11.85,12.24,11.562361,250600
2010-09-15,12.52,12.92,12.35,12.47,11.779626,561100
2010-09-16,12.46,12.64,12.01,12.02,11.354541,323300
2010-09-17,12.01,12.25,11.82,12.08,11.411219,252300
2010-09-20,12.21,12.97,12.1,12.69,11.987446,404100
2010-09-21,12.61,12.85,12.36,12.51,11.817412,178800
2010-09-22,12.4,12.6,12.01,12.18,11.505681,184600
2010-09-23,12.0,12.49,11.89,12.0,11.335648,320800
2010-09-24,12.1,12.37,11.82,12.22,11.543466,146900
2010-09-27,12.17,12.39,12.02,12.25,11.571807,186600
2010-09-28,12.21,12.62,12.11,12.61,11.911875,168800
2010-09-29,12.63,12.88,12.49,12.55,11.855199,238500
2010-09-30,12.62,12.95,12.26,12.39,11.704055,196800
2010-10-01,12.47,12.77,12.26,12.36,11.675715,170500
2010-10-04,12.38,12.71,12.25,12.35,11.666271,140700
2010-10-05,12.43,12.69,12.22,12.35,11.666271,256900
2010-10-06,12.32,12.49,12.13,12.47,11.779626,90400
2010-10-07,12.5,12.5,11.61,11.85,11.193954,252800
2010-10-08,11.8,12.11,11.72,11.98,11.316753,251900
2010-10-11,11.95,12.15,11.91,12.05,11.382879,63700
2010-10-12,12.01,12.3,11.91,12.3,11.619039,59600
2010-10-13,12.31,12.33,12.02,12.07,11.40177,222000
2010-10-14,12.07,12.23,12.0,12.15,11.477343,223700
2010-10-15,12.35,12.35,11.86,11.94,11.278969,396200
2010-10-18,11.96,12.29,11.65,12.24,11.562361,53500
2010-10-19,12.06,12.25,12.01,12.11,11.439557,130100
2010-10-20,12.17,12.45,11.52,12.2,11.524575,124800
2010-10-21,12.11,12.4,12.11,12.25,11.571807,58800
2010-10-22,12.2,12.61,12.18,12.33,11.647377,94200
2010-10-25,12.2,12.59,12.2,12.37,11.685163,128300
2010-10-26,12.25,12.49,11.91,12.28,11.600146,186100
2010-10-27,12.28,12.8,12.28,12.77,12.063017,263800
2010-10-28,12.82,13.35,12.6,13.19,12.459764,409900
2010-10-29,13.16,13.47,12.88,13.19,12.459764,434600
2010-11-01,13.27,13.5,12.56,12.69,11.987446,432100
2010-11-02,12.9,13.43,12.47,13.27,12.535336,300900
2010-11-03,13.21,13.8,13.11,13.64,12.884852,359900
2010-11-04,13.74,14.0,13.53,13.97,13.196584,274600
2010-11-05,13.9,14.0,13.64,13.97,13.196584,175600
2010-11-08,14.0,14.0,13.61,13.77,13.007655,179900
2010-11-09,13.72,13.95,13.2,13.63,12.875405,269800
2010-11-10,13.6,13.73,13.05,13.32,12.582567,172300
2010-11-11,13.2,13.2,12.58,12.86,12.148035,317200
2010-11-12,12.69,13.08,12.64,12.82,12.110249,115700
2010-11-15,12.9,13.14,12.78,12.98,12.261393,51800
2010-11-16,12.73,13.27,12.63,12.84,12.129145,206500
2010-11-17,12.8,12.9,12.76,12.8,12.091358,67600
2010-11-18,13.0,13.0,12.61,12.9,12.185821,118700
2010-11-19,12.89,12.9,12.7,12.9,12.185821,74300
2010-11-22,12.85,13.32,12.84,12.99,12.270837,117700
2010-11-23,12.8,12.9,12.7,12.8,12.091358,440000
2010-11-24,12.88,12.93,12.5,12.66,11.959106,250000
2010-11-26,12.56,12.93,12.56,12.83,12.119696,348500
2010-11-29,12.81,13.11,12.6,12.73,12.025231,270100
2010-11-30,12.6,12.84,12.31,12.58,11.883537,288700
2010-12-01,12.74,13.46,12.6,13.26,12.52589,682100
2010-12-02,13.35,14.0,13.16,13.98,13.20603,273800
2010-12-03,13.98,17.280001,13.78,16.139999,15.246445,948600
2010-12-06,16.0,16.389999,15.41,15.94,15.057517,489300
2010-12-07,16.0,16.43,15.73,16.370001,15.463716,600800
2010-12-08,16.799999,18.799999,16.799999,18.440001,17.419109,1371000
2010-12-09,18.780001,20.43,18.780001,19.129999,18.070911,1187500
2010-12-10,19.200001,20.200001,18.41,19.950001,18.845518,457800
2010-12-13,20.0,20.0,18.549999,18.860001,17.815861,432800
2010-12-14,18.9,19.379999,18.280001,18.73,17.693058,689900
2010-12-15,18.700001,19.0,18.09,18.33,17.315199,437000
2010-12-16,18.42,18.67,18.190001,18.440001,17.419109,447800
2010-12-17,18.51,18.68,18.0,18.110001,17.107384,371100
2010-12-20,18.16,19.299999,18.049999,18.6,17.57025,446700
2010-12-21,18.860001,20.0,18.6,19.25,18.184267,584100
2010-12-22,19.709999,21.57,19.709999,20.25,19.128902,1489000
2010-12-23,20.200001,20.200001,19.58,20.09,18.977758,466000
2010-12-27,20.0,20.280001,19.700001,20.200001,19.081671,98500
2010-12-28,20.459999,20.809999,20.0,20.290001,19.166693,137300
2010-12-29,20.620001,20.709999,20.41,20.709999,19.563435,139000
2010-12-30,20.73,20.879999,20.620001,20.700001,19.553993,76800
2010-12-31,20.6,21.1,20.42,20.93,19.771257,94400
2011-01-03,21.200001,21.52,20.639999,21.43,20.243578,256100
2011-01-04,21.9,22.75,21.17,22.01,20.791462,952100
2011-01-05,21.870001,23.6,21.68,23.379999,22.085617,846400
2011-01-06,23.73,23.799999,22.76,23.24,21.953367,453100
2011-01-07,23.33,23.33,22.68,22.92,21.651085,300900
2011-01-10,22.75,23.610001,22.700001,23.42,22.123404,254100
2011-01-11,23.82,24.07,23.629999,24.0,22.671295,278200
2011-01-12,24.5,24.58,23.280001,23.6,22.29344,303000
2011-01-13,23.860001,23.860001,22.99,23.33,22.038387,250500
2011-01-14,23.33,23.43,22.85,23.389999,22.095062,183200
2011-01-18,23.32,23.690001,23.280001,23.58,22.274546,290500
2011-01-19,23.6,23.790001,22.52,22.959999,21.688869,416400
2011-01-20,22.75,22.75,21.49,21.67,20.470289,745900
2011-01-21,22.15,22.93,21.639999,21.969999,20.753677,678800
2011-01-24,22.059999,22.76,22.0,22.65,21.396032,486900
2011-01-25,22.65,26.18,22.65,24.280001,22.935793,1725100
2011-01-26,24.709999,26.459999,24.0,25.99,24.551121,1558000
2011-01-27,26.360001,26.84,25.5,26.08,24.636139,719400
2011-01-28,26.0,26.049999,24.25,24.57,23.20974,1013900
2011-01-31,24.809999,25.84,24.610001,25.74,24.314962,668400
2011-02-01,26.48,27.370001,25.82,27.23,25.722475,875000
2011-02-02,27.48,27.629999,26.030001,27.190001,25.684685,624700
2011-02-03,27.75,28.25,26.99,27.200001,25.694132,487300
2011-02-04,27.540001,27.58,27.1,27.35,25.835827,182800
2011-02-07,26.93,27.1,26.15,26.309999,24.853407,1620600
2011-02-08,26.42,26.65,26.120001,26.379999,24.919527,707600
2011-02-09,26.299999,26.969999,25.809999,26.540001,25.070673,349600
2011-02-10,27.059999,27.200001,25.9,26.17,24.721155,585400
2011-02-11,26.110001,26.620001,25.200001,25.27,23.870985,1321800
2011-02-14,25.950001,25.950001,25.0,25.440001,24.03157,1661400
2011-02-15,24.719999,26.190001,24.200001,25.01,23.625376,1819600
2011-02-16,25.469999,27.799999,25.41,26.93,25.439083,3625200
2011-02-17,27.299999,27.65,26.700001,27.309999,25.79804,1294100
2011-02-18,27.620001,30.74,27.41,29.299999,27.677872,2766000
2011-02-22,28.879999,31.780001,28.299999,29.450001,27.819563,2040900
2011-02-23,29.9,30.09,27.809999,28.41,26.837145,1330900
2011-02-24,28.370001,29.290001,28.1,29.120001,27.507833,901800
2011-02-25,29.540001,30.809999,29.35,30.549999,28.858667,1150600
2011-02-28,31.450001,32.360001,30.5,31.950001,30.181162,2340300
2011-03-01,32.110001,33.869999,29.83,29.98,28.320227,2069000
2011-03-02,30.0,30.709999,29.01,29.25,27.630642,1435900
2011-03-03,30.540001,31.690001,29.469999,31.17,29.444342,1790900
2011-03-04,31.5,31.77,30.389999,30.75,29.047592,1226700
2011-03-07,31.709999,31.709999,28.16,29.16,27.54562,2471600
2011-03-08,29.01,29.790001,28.41,28.709999,27.120537,1274200
2011-03-09,29.299999,29.65,27.58,27.780001,26.242022,1095000
2011-03-10,26.34,27.440001,25.32,26.51,25.042332,1860000
2011-03-11,26.18,27.629999,26.129999,27.459999,25.939739,774500
2011-03-14,26.48,26.75,24.870001,25.83,24.399981,1910100
2011-03-15,25.0,26.450001,24.32,26.280001,24.825071,1323800
2011-03-16,26.27,27.120001,25.389999,25.940001,24.503893,1121800
2011-03-17,26.59,27.950001,26.120001,26.940001,25.44853,1765700
2011-03-18,27.74,27.799999,27.280001,27.549999,26.024754,1128800
2011-03-21,27.98,28.33,27.610001,27.85,26.308149,1071800
2011-03-22,27.610001,27.93,27.02,27.219999,25.713024,812100
2011-03-23,27.15,27.459999,26.42,27.07,25.571333,802200
2011-03-24,28.200001,28.4,27.379999,28.299999,26.733231,1300600
2011-03-25,28.629999,28.690001,27.799999,27.879999,26.336485,529900
2011-03-28,28.25,29.23,27.459999,28.690001,27.101639,1904900
2011-03-29,28.459999,31.68,28.459999,31.290001,29.557693,3422600
2011-03-30,31.76,32.549999,30.620001,31.379999,29.642714,2708400
2011-03-31,30.67,31.110001,29.82,29.969999,28.310774,15714900
2011-04-01,30.35,30.74,29.969999,30.59,28.896454,3383300
2011-04-04,30.879999,31.26,30.07,31.129999,29.406559,1895600
2011-04-05,31.370001,32.41,30.6,31.99,30.218943,2591400
2011-04-06,32.68,33.75,32.049999,33.259998,31.418631,4436300
2011-04-07,33.650002,33.810001,32.25,32.939999,31.11635,1527100
2011-04-08,34.41,34.799999,32.18,32.619999,30.814066,7956600
2011-04-11,33.5,33.84,31.9,32.209999,30.426769,2965700
2011-04-12,31.799999,32.119999,30.799999,31.02,29.30265,1830300
2011-04-13,31.709999,31.9,31.049999,31.540001,29.793854,994100
2011-04-14,31.43,32.369999,30.860001,32.200001,30.417322,942300
2011-04-15,32.290001,32.889999,32.07,32.34,30.549568,999900
2011-04-18,31.6,32.09,30.799999,31.74,29.982784,886200
2011-04-19,31.99,32.0,31.1,31.450001,29.708841,555400
2011-04-20,32.299999,33.59,31.459999,33.560001,31.702024,1626700
2011-04-21,34.139999,34.25,32.91,33.459999,31.607555,961500
2011-04-25,33.5,33.950001,33.18,33.459999,31.607555,496000
2011-04-26,34.389999,34.5,33.5,34.18,32.287693,1177800
2011-04-27,34.5,34.5,32.880001,33.419998,31.569777,986700
2011-04-28,33.73,33.880001,32.349998,33.07,31.239153,857300
2011-04-29,33.330002,35.32,32.939999,33.400002,31.550877,1529800
2011-05-02,33.990002,34.0,32.68,33.040001,31.210814,867600
2011-05-03,33.09,33.380001,31.610001,31.799999,30.039465,1849500
2011-05-04,32.200001,32.349998,30.459999,31.809999,30.048904,2369600
2011-05-05,31.41,31.959999,30.610001,31.0,29.283754,2143900
