Date,Open,High,Low,Close,Adj Close,Volume
1994-09-13,4.5,4.875,4.5,4.625,4.141292,74000
1994-09-14,4.5,4.75,3.625,4.375,3.917441,335100
1994-09-15,4.5,4.546875,4.375,4.546875,4.071339,43600
1994-09-16,4.375,4.75,4.25,4.75,4.253221,171900
1994-09-19,4.875,4.875,4.875,4.875,4.365147,2100
1994-09-20,4.5,4.546875,4.25,4.375,3.917441,81000
1994-09-21,4.125,4.171875,4.125,4.171875,3.735559,8000
1994-09-22,4.375,4.375,4.375,4.375,3.917441,6100
1994-09-23,4.375,4.375,4.125,4.125,3.693586,6700
1994-09-26,4.375,4.375,4.125,4.25,3.805513,6600
1994-09-27,4.25,4.25,3.75,4.0,3.581659,205500
1994-09-28,4.125,4.125,4.125,4.125,3.693586,11600
1994-09-29,3.75,4.125,3.75,4.125,3.693586,9600
1994-09-30,4.125,4.125,4.125,4.125,3.693586,1000
1994-10-03,3.875,3.875,3.875,3.875,3.469733,9000
1994-10-04,4.0,4.0,3.625,3.625,3.245879,18300
1994-10-05,3.75,3.875,3.6875,3.6875,3.301842,21100
1994-10-06,3.875,3.875,3.625,3.875,3.469733,4000
1994-10-07,3.625,3.625,3.625,3.625,3.245879,1600
1994-10-10,3.625,3.625,3.625,3.625,3.245879,0
1994-10-11,3.625,3.625,3.625,3.625,3.245879,0
1994-10-12,3.75,3.75,3.6875,3.75,3.357806,7000
1994-10-13,3.875,3.875,3.625,3.625,3.245879,14200
1994-10-14,3.875,3.875,3.625,3.625,3.245879,8500
1994-10-17,3.625,3.625,3.625,3.625,3.245879,200
1994-10-18,3.625,3.875,3.625,3.875,3.469733,6800
1994-10-19,3.875,3.875,3.625,3.625,3.245879,5200
1994-10-20,3.625,3.625,3.625,3.625,3.245879,900
1994-10-21,3.875,3.875,3.875,3.875,3.469733,2000
1994-10-24,3.875,4.125,3.875,4.125,3.693586,27300
1994-10-25,4.0,4.0,4.0,4.0,3.581659,1200
1994-10-26,4.125,4.125,4.125,4.125,3.693586,100
1994-10-27,4.125,4.125,4.125,4.125,3.693586,12500
1994-10-28,4.125,4.125,4.125,4.125,3.693586,1500
1994-10-31,3.75,3.75,3.75,3.75,3.357806,400
1994-11-01,3.875,3.875,3.875,3.875,3.469733,2000
1994-11-02,4.0,4.0,3.75,3.75,3.357806,1300
1994-11-03,3.75,3.75,3.75,3.75,3.357806,3600
1994-11-04,3.75,3.75,3.75,3.75,3.357806,0
1994-11-07,4.0,4.0,3.75,3.75,3.357806,8000
1994-11-08,3.75,3.75,3.75,3.75,3.357806,4000
1994-11-09,3.625,3.625,3.625,3.625,3.245879,12000
1994-11-10,3.875,3.875,3.625,3.625,3.245879,20100
1994-11-11,3.625,3.625,3.625,3.625,3.245879,0
1994-11-14,3.625,3.625,3.625,3.625,3.245879,0
1994-11-15,3.5,3.875,3.5,3.5,3.133952,31400
1994-11-16,3.875,3.875,3.5,3.5,3.133952,3800
1994-11-17,3.5,3.625,3.5,3.625,3.245879,2000
1994-11-18,3.5,3.5,3.5,3.5,3.133952,9000
1994-11-21,3.5,3.5,3.5,3.5,3.133952,500
1994-11-22,3.375,3.375,2.75,2.75,2.462391,16300
1994-11-23,2.5,2.75,2.5,2.75,2.462391,3600
1994-11-25,2.5,2.5,2.125,2.5,2.238537,12500
1994-11-28,2.5,2.625,2.375,2.375,2.12661,40500
1994-11-29,2.75,2.875,2.5,2.5,2.238537,17200
1994-11-30,2.875,2.875,2.5,2.75,2.462391,7000
1994-12-01,2.875,2.875,2.5,2.5,2.238537,8500
1994-12-02,2.5,2.75,2.5,2.75,2.462391,5500
1994-12-05,2.375,2.375,2.25,2.25,2.014683,5900
1994-12-06,2.25,2.5,2.25,2.25,2.014683,4700
1994-12-07,2.25,2.25,2.25,2.25,2.014683,2600
1994-12-08,2.125,2.375,2.0,2.0,1.79083,4300
1994-12-09,2.0,2.25,1.875,1.875,1.678903,27400
1994-12-12,2.25,2.25,2.0,2.25,2.014683,4100
1994-12-13,2.125,2.125,1.875,1.875,1.678903,7000
1994-12-14,1.875,1.875,1.625,1.6875,1.511012,8300
1994-12-15,1.625,1.875,1.625,1.75,1.566976,38200
1994-12-16,1.8125,1.8125,1.6875,1.6875,1.511012,11600
1994-12-19,1.8125,1.8125,1.6875,1.75,1.566976,18000
1994-12-20,1.8125,1.875,1.75,1.875,1.678903,21400
1994-12-21,1.8125,1.875,1.75,1.875,1.678903,20800
1994-12-22,1.875,1.90625,1.6875,1.6875,1.511012,32500
1994-12-23,1.875,2.125,1.875,2.0,1.79083,58200
1994-12-27,1.875,1.875,1.75,1.875,1.678903,8400
1994-12-28,1.9375,2.0,1.875,1.875,1.678903,20500
1994-12-29,1.8125,2.0,1.75,1.875,1.678903,20100
1994-12-30,2.0,2.046875,1.75,2.03125,1.818811,111200
1995-01-03,2.125,2.125,1.875,2.125,1.902756,53500
1995-01-04,2.125,2.125,1.875,1.875,1.678903,27000
1995-01-05,1.875,2.125,1.875,2.0,1.79083,28000
1995-01-06,2.125,4.0,2.125,4.0,3.581659,420300
1995-01-09,4.375,5.375,4.125,4.875,4.365147,88200
1995-01-10,4.875,4.875,4.125,4.375,3.917441,165900
